Date,Distance (in AU)
 1952-Feb-01,0.00254367
 1952-Feb-02,0.002585046
 1952-Feb-03,0.00262275
 1952-Feb-04,0.002654884
 1952-Feb-05,0.002680325
 1952-Feb-06,0.002698649
 1952-Feb-07,0.002709989
 1952-Feb-08,0.002714878
 1952-Feb-09,0.002714074
 1952-Feb-10,0.002708399
 1952-Feb-11,0.002698599
 1952-Feb-12,0.002685249
 1952-Feb-13,0.002668704
 1952-Feb-14,0.002649117
 1952-Feb-15,0.002626516
 1952-Feb-16,0.002600938
 1952-Feb-17,0.002572597
 1952-Feb-18,0.002542065
 1952-Feb-19,0.002510421
 1952-Feb-20,0.002479336
 1952-Feb-21,0.002451033
 1952-Feb-22,0.002428107
 1952-Feb-23,0.002413162
 1952-Feb-24,0.00240835
 1952-Feb-25,0.002414889
 1952-Feb-26,0.00243274
 1952-Feb-27,0.002460538
 1952-Feb-28,0.002495816
 1952-Feb-29,0.002535424
 1952-Mar-01,0.002576021
 1952-Mar-02,0.002614492
 1952-Mar-03,0.002648255
 1952-Mar-04,0.002675425
 1952-Mar-05,0.002694868
 1952-Mar-06,0.00270617
 1952-Mar-07,0.002709551
 1952-Mar-08,0.00270574
 1952-Mar-09,0.002695827
 1952-Mar-10,0.002681102
 1952-Mar-11,0.002662888
 1952-Mar-12,0.0026424
 1952-Mar-13,0.002620624
 1952-Mar-14,0.002598268
 1952-Mar-15,0.002575761
 1952-Mar-16,0.002553344
 1952-Mar-17,0.0025312
 1952-Mar-18,0.002509633
 1952-Mar-19,0.002489217
 1952-Mar-20,0.002470906
 1952-Mar-21,0.002456031
 1952-Mar-22,0.002446182
 1952-Mar-23,0.002442948
 1952-Mar-24,0.002447595
 1952-Mar-25,0.002460721
 1952-Mar-26,0.002482032
 1952-Mar-27,0.00251028
 1952-Mar-28,0.002543398
 1952-Mar-29,0.002578783
 1952-Mar-30,0.002613632
 1952-Mar-31,0.002645279
 1952-Apr-01,0.002671446
 1952-Apr-02,0.002690425
 1952-Apr-03,0.00270117
 1952-Apr-04,0.002703324
 1952-Apr-05,0.002697198
 1952-Apr-06,0.002683693
 1952-Apr-07,0.002664198
 1952-Apr-08,0.002640441
 1952-Apr-09,0.002614313
 1952-Apr-10,0.002587675
 1952-Apr-11,0.00256217
 1952-Apr-12,0.002539063
 1952-Apr-13,0.002519167
 1952-Apr-14,0.002502837
 1952-Apr-15,0.002490082
 1952-Apr-16,0.002480726
 1952-Apr-17,0.002474599
 1952-Apr-18,0.002471698
 1952-Apr-19,0.002472261
 1952-Apr-20,0.002476742
 1952-Apr-21,0.002485677
 1952-Apr-22,0.002499485
 1952-Apr-23,0.002518247
 1952-Apr-24,0.002541536
 1952-Apr-25,0.002568344
 1952-Apr-26,0.002597122
 1952-Apr-27,0.002625926
 1952-Apr-28,0.002652624
 1952-Apr-29,0.00267512
